time,data
440,31406
441,31391
442,31371
443,31396
444,31194
445,31164
446,31007
447,30943
448,30977
449,31219
450,31785
451,32120
452,32326
453,32287
454,32317
455,32386
456,32366
457,32238
458,32410
459,32509
460,32450
461,32474
462,32253
463,32474
464,32572
465,32898
466,33440
467,33322
468,33396
469,33262
470,33228
471,33327
472,33233
473,33144
474,32972
475,32947
476,32745
477,32957
478,32947
479,32804
480,32878
481,33080
482,33021
483,33090
484,32528
485,32617
486,32602
487,32070
488,32060
489,32400
490,32489
491,32025
492,31922
493,32020
494,32060
495,31951
496,32203
497,32237
498,32183
499,32223
500,32232
501,32144
502,31518
503,31671
504,31542
505,31912
506,32311
507,32454
508,32592
509,32336
510,32775
511,32996
512,32863
513,32651
514,32484
515,32543
516,32617
517,32873
518,32794
519,32819
520,32844
521,32508
522,32947
523,33001
524,33258
525,33391
526,33617
527,33198
528,33223
529,33233
530,32592
531,32247
532,31789
533,30985
534,31247
535,30419
536,30759
537,30995
538,31399
539,31562
540,31197
541,31360
542,31153
543,31641
544,31695
545,31597
546,31237
547,30798
548,30394
549,31005
550,31045
551,31360
552,31720
553,32001
554,32149
555,32124
556,32237
557,32178
558,31947
559,32099
560,32104
561,32227
562,31153
563,31424
564,31557
565,31168
566,31424
567,31503
568,31429
569,31365
570,30882
571,31311
572,31158
573,31375
574,31404
575,31306
576,31301
577,31508
578,31533
579,31488
580,31838
581,32016
582,31804
583,31784
584,31606
585,31404
586,31799
587,32090
588,32300
589,32070
590,31960
591,31705
592,31560
593,31455
594,31670
595,31865
596,31800
597,31510
598,31610
599,31495
600,31595
