Date,High,result,Volume
1994-11-08,7.952724000000001,2.487923,10738400
1994-11-09,7.992788000000001,2.468932,11576400
1994-11-10,7.9326929999999996,2.468932,8649800
1994-11-11,7.872596000000001,2.468932,6745400
1994-11-14,7.872596000000001,2.468932,8458300
1994-11-15,7.892628,2.468932,10490600
1994-11-16,7.912660000000001,2.494255,9200200
1994-11-17,7.9326929999999996,2.468932,13290500
1994-11-18,7.852564,2.468932,23655200
1994-11-21,7.7924679999999995,2.399296,12682100
1994-11-22,7.612178999999999,2.354981,19116800
1994-11-23,7.451923,2.342319,30842400
1994-11-25,7.431891,2.342319,5463100
1994-11-28,7.572114999999999,2.392964,12721400
1994-11-29,7.5520830000000005,2.361312,13384800
1994-11-30,7.572114999999999,2.329659,13697400
1994-12-01,7.411859,2.310667,12447500
1994-12-02,7.572114999999999,2.3866330000000002,13946400
1994-12-05,7.6522440000000005,2.373972,10812600
1994-12-06,7.532050999999999,2.354981,12729600
1994-12-07,7.592147,2.399296,10331500
1994-12-08,7.632211999999999,2.335989,13668000
1994-12-09,7.532050999999999,2.373972,16816800
1994-12-12,7.592147,2.399296,14093600
1994-12-13,7.732372,2.424618,16332500
1994-12-14,7.852564,2.468932,17252900
1994-12-15,7.872596000000001,2.481595,14982800
1994-12-16,8.072917,2.544898,48990200
1994-12-19,8.052885,2.532238,15151300
1994-12-20,8.052885,2.519577,13917600
1994-12-21,8.072917,2.525907,17825800
1994-12-22,8.173077000000001,2.55756,13343600
1994-12-23,8.052885,2.653966,6784700
1994-12-27,8.213141,2.733982,10943700
1994-12-28,8.253205,2.727315,9234500
1994-12-29,8.313301,2.753989,12536100
1994-12-30,8.293269,2.720648,8307300
1995-01-03,8.173077000000001,2.720648,12372600
1995-01-04,8.253205,2.720648,10549900
1995-01-05,8.273237,2.727315,11416700
1995-01-06,8.273237,2.713979,10168000
1995-01-09,8.153045,2.687307,8817100
1995-01-10,8.253205,2.7073110000000002,12476800
1995-01-11,8.253205,2.747319,10996700
1995-01-12,8.253205,2.740653,8450800
1995-01-13,8.333333,2.773993,10478200
1995-01-16,8.493589,2.807334,13996300
1995-01-17,8.373398,2.773993,14869900
1995-01-18,8.39343,2.787329,12218500
1995-01-19,8.333333,2.720648,15231800
1995-01-20,8.193109,2.720648,23178400
1995-01-23,8.112981,2.680638,16190900
1995-01-24,8.173077000000001,2.687307,10835100
1995-01-25,8.173077000000001,2.7073110000000002,10764600
1995-01-26,8.193109,2.720648,11227600
1995-01-27,8.253205,2.6939740000000003,8551900
1995-01-30,8.193109,2.727315,6771600
1995-01-31,8.293269,2.747319,9028000
1995-02-01,8.273237,2.727315,10408300
1995-02-02,8.213141,2.733982,8262300
1995-02-03,8.433494,2.7806599999999997,15834600
1995-02-06,8.39343,2.773993,12014400
1995-02-07,8.353365,2.773993,9451100
1995-02-08,8.373398,2.773993,8319100
1995-02-09,8.373398,2.787329,8594300
1995-02-10,8.453526,2.7806599999999997,9514700
1995-02-13,8.473557000000001,2.807334,7818000
1995-02-14,8.433494,2.807334,10049500
1995-02-15,8.633814,2.860679,16200900
1995-02-16,8.673879,2.887354,20786600
1995-02-17,8.693911,2.860679,26298400
1995-02-21,8.653846000000001,2.874017,10921200
1995-02-22,8.874199,2.940701,16982100
1995-02-23,8.974359,2.954036,23285100
1995-02-24,8.894231,2.920693,14659600
1995-02-27,8.754006,2.860679,13876500
1995-02-28,8.79407,2.920693,10803900
1995-03-01,8.733974,3.0288169999999996,11969500
1995-03-02,8.673879,2.972857,12466800
1995-03-03,8.513621,2.965862,7666400
1995-03-06,8.473557000000001,2.9518720000000003,13500200
1995-03-07,8.493589,2.944877,12573600
1995-03-08,8.573718,2.979852,16089800
1995-03-09,8.553686,2.979852,8965600
1995-03-10,8.79407,3.06379,16416800
1995-03-13,8.854167,3.056797,10093200
1995-03-14,8.874199,3.077783,10251000
1995-03-15,8.834135,3.007832,12310800
1995-03-16,8.814102,3.0707869999999997,12383900
1995-03-17,8.79407,3.035812,28024400
1995-03-20,8.713942999999999,3.0288169999999996,10071300
1995-03-21,8.79407,3.042807,14693900
1995-03-22,8.754006,3.056797,8799600
1995-03-23,8.774038000000001,3.049802,12413200
1995-03-24,8.834135,3.077783,12535500
1995-03-27,8.854167,3.056797,9221400
1995-03-28,8.834135,3.0707869999999997,7753800
1995-03-29,8.874199,3.077783,13898300
1995-03-30,8.834135,3.06379,9424200
1995-03-31,8.733974,3.0218220000000002,12010700
1995-04-03,8.754006,3.056797,11054100
1995-04-04,8.79407,3.0707869999999997,13199400
1995-04-05,8.79407,3.0707869999999997,7338200
1995-04-06,8.894231,3.091772,9144700
1995-04-07,8.894231,3.0707869999999997,10697800
1995-04-10,8.854167,3.077783,6273000
1995-04-11,8.874199,3.06379,9140300
1995-04-12,8.774038000000001,3.06379,6975000
1995-04-13,8.814102,3.077783,9031100
1995-04-17,8.914263,3.014828,13707400
1995-04-18,8.733974,3.0218220000000002,13388500
1995-04-19,8.79407,3.06379,11776100
1995-04-20,8.814102,3.0218220000000002,11994500
1995-04-21,8.814102,3.077783,21848700
1995-04-24,8.934295,3.105761,12712100
1995-04-25,8.934295,3.119751,11865300
1995-04-26,9.114583,3.126747,11927700
1995-04-27,9.054487,3.1547259999999997,14439300
1995-04-28,9.094551,3.133741,15876400
1995-05-01,9.054487,3.1547259999999997,10782700
1995-05-02,9.054487,3.1477310000000003,10440700
1995-05-03,9.154648,3.168716,13530100
1995-05-04,9.274839,3.1966959999999998,17073800
1995-05-05,9.274839,3.210685,12505500
1995-05-08,9.375,3.273641,12262200
1995-05-09,9.415064,3.280636,13138900
1995-05-10,9.495192999999999,3.3086160000000002,24055800
1995-05-11,9.495192999999999,3.266645,12957900
1995-05-12,9.455129,3.3016199999999998,16849800
1995-05-15,9.375,3.2246759999999997,20565700
1995-05-16,9.314903999999999,3.182707,17344000
1995-05-17,9.234776,3.21768,12255900
1995-05-18,9.294871,3.161721,15330400
1995-05-19,9.074519,3.161721,27487200
1995-05-22,9.17468,3.1966959999999998,11917700
1995-05-23,9.234776,3.2246759999999997,11294400
1995-05-24,9.274839,3.1966959999999998,14368800
1995-05-25,9.134615,3.161721,14286400
1995-05-26,9.074519,3.1547259999999997,12538600
1995-05-30,9.094551,3.168716,10260400
1995-05-31,9.294871,3.24566,11816600
1995-06-01,9.334936,3.24566,13987500
1995-06-02,9.354968,3.175711,12893700
1995-06-05,9.274839,3.238665,14121700
1995-06-06,9.314903999999999,3.2246759999999997,16632000
1995-06-07,9.214744,3.210685,9525900
1995-06-08,9.214744,3.182707,7417400
1995-06-09,9.134615,3.1127569999999998,19803800
1995-06-12,9.094551,3.175711,11422900
1995-06-13,9.214744,3.21768,9129100
1995-06-14,9.274839,3.2316700000000003,8339700
1995-06-15,9.334936,3.2316700000000003,9394900
1995-06-16,9.314903999999999,3.210685,30899800
1995-06-19,9.274839,3.238665,10312200
1995-06-20,9.274839,3.203691,16004900
1995-06-21,9.274839,3.1966959999999998,11819100
1995-06-22,9.234776,3.203691,18339300
1995-06-23,9.194711999999999,3.1966959999999998,12559200
1995-06-26,9.194711999999999,3.182707,10795200
1995-06-27,9.194711999999999,3.175711,13930100
1995-06-28,9.17468,3.175711,15636100
1995-06-29,9.134615,3.133741,16427400
1995-06-30,9.054487,3.305674,11635100
1995-07-03,9.154648,3.345989,6199400
1995-07-05,9.294871,3.3863,14383200
1995-07-06,9.455129,3.459596,13507700
1995-07-07,9.615385,3.518235,18834100
1995-07-10,9.615385,3.503575,10007000
1995-07-11,9.595352,3.459596,9621400
1995-07-12,9.515224,3.466928,11480900
1995-07-13,9.435096000000001,3.43028,11218800
1995-07-14,9.435096000000001,3.40829,9882900
1995-07-17,9.555288000000001,3.488917,11200800
1995-07-18,9.635417,3.459596,12457500
1995-07-19,9.595352,3.40829,25081000
1995-07-20,9.515224,3.481588,13087700
1995-07-21,9.615385,3.510903,30521000
1995-07-24,9.695513,3.4962459999999997,12879900
1995-07-25,9.635417,3.4962459999999997,12635300
1995-07-26,9.595352,3.4742559999999996,14004400
1995-07-27,9.615385,3.4742559999999996,13522000
1995-07-28,9.515224,3.4449379999999996,9277600
1995-07-31,9.57532,3.459596,11076600
1995-08-01,9.475161,3.437608,10940500
1995-08-02,9.535256,3.3643110000000003,18256300
1995-08-03,9.234776,3.3643110000000003,14270800
1995-08-04,9.334936,3.378971,11225100
1995-08-07,9.415064,3.4449379999999996,6282400
1995-08-08,9.455129,3.459596,8171200
1995-08-09,9.455129,3.437608,7935400
1995-08-10,9.415064,3.400959,10018300
1995-08-11,9.294871,3.3863,7633300
